iufo_freereport
id,name
1001Z31000000000SH0P,报销人汇总表
1001Z31000000000MFVD,借款账龄分析报表格式
1011Z310000000000LM5,借款人借款账龄分析(汇总)
1001Z31000000000WRSE,借款人借款余额表
1001Z31000000000MVCB,借款人借款明细账
1001Z31000000000SFX9,报销人费用明细账
1001Z31000000002XNKM,部门费用明细账
1001Z31000000002XNMV,成本中心费用明细账
1001Z31000000002XNOY,单位费用明细账
1001Z31000000000589U,费用余额汇总表
1001Z31000000000U4VP,摊销信息分析帐表
1001Z310000000009K52,收支项目费用趋势图
1001Z31000000000IZR1,成本中心费用趋势图
1001Z310000000000JAI,借款账龄明细分析报表格式
1001Z3100000000018R6,借款明细账
1001Z310000000004NFU,借款余额表
1011Z310000000000LM4,借款人借款账龄分析(明细)
1001Z31000000001GXVD,借款人借款账龄查询(明细)
1001Z31000000001GXVE,借款人借款账龄查询(汇总)
1001Z31000000001N3BZ,费用申请明细账表
1001Z31000000000IZQO,部门费用趋势图
1001Z310000000022DMY,申请部门费用申请执行情况查询
1001Z31000000000CY2Z,部门费用汇总表
1001Z31000000000K1HK,申请人费用申请执行情况查询
1001Z31000000002XNNW,成本中心汇总表
1001Z31000000000589T,费用账表明细
1001Z31000000002XNQ1,费用单位汇总表
1001Z310000000003R16,测试练习使用
1001Z31000000001GX88,借款人借款账龄查询(汇总)
1001Z31000000000ZSKZ,申请部门+申请人申请执行情况查询
